AAAS Afrcn and Afrcn-Amer Stds,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,28681,ACCT,3100,1,11M,3,Foundations of Accounting,MW,02:20 pm-03:45 pm,50,0,50,100,0,100,0,0,0,Jeffrey Mark Nevels (P),01/17-05/04,TBA,
NR,28632,ACCT,3100,M50,11M,3,Foundations of Accounting,,TBA,20,0,20,100,0,100,0,0,0,Jeffrey Mark Nevels (P),01/17-05/04,WEB 100,(Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,14490,ACCT,3110,1,11M,3,Intermediate Accounting I,MW,12:40 pm-02:05 pm,30,0,30,100,0,100,0,0,0,Katherine Brunelle Sorensen (P),01/17-05/04,FCB 257,Course Fee Business UG
NR,21502,ACCT,3110,M50,11M,3,Intermediate Accounting I,,TBA,40,0,40,100,0,100,0,0,0,Jeffrey Mark Nevels (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,21749,ACCT,3120,M50,11M,3,Intermediate Accounting II,,TBA,60,0,60,100,0,100,0,0,0,Hongbo Zhang (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,15407,ACCT,3130,1,11M,3,Legal/Social/Political Environ,MW,12:40 pm-02:05 pm,55,0,55,100,0,100,0,0,0,Larry Moore (P),01/17-05/04,FCB 259,Course Fee Business UG
NR,15420,ACCT,3130,2,11M,3,Legal/Social/Political Environ,MW,02:20 pm-03:45 pm,55,0,55,100,0,100,0,0,0,Larry Moore (P),01/17-05/04,FCB 259,Course Fee Business UG
NR,20461,ACCT,3130,M50,11M,3,Legal/Social/Political Environ,,TBA,60,0,60,100,0,100,0,0,0,Larry Moore (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,15415,ACCT,3130,M51,11M,3,Legal/Social/Political Environ,,TBA,60,0,60,100,0,100,0,0,0,Larry Moore (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
NR,15424,ACCT,3130,M52,11M,3,Legal/Social/Political Environ,,TBA,60,0,60,100,0,100,0,0,0,Laura Stephens Martin (P),01/17-05/04,WEB 100,Online Accountancy UG and Course Fee Business UG and (Tiger Eats Does Not Apply) and UM3D Approved Online Section
